#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-12-02T05:57:32 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-02T05:57:32	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-source=J/AcA/49/543/table1&-order=I&-out=Cluster&-out=Field&-out=Cepheid&-out=Dist&-out=Per&-out=HJD&-out=Vmag&-out=Imag&-out=E(B-V)&-out=Type&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_120490543
#Name: J/AcA/49/543
#Title: OGLE LMC & SMC Cepheids VI photometry (Pietrzynski+, 1999)
#INFO	ivoid=ivo://cds.vizier/j/aca/49/543	    IVOID of underlying data collection
#INFO	creator=Pietrzynski G.	    First author or institution
#INFO	cites=bibcode:1999AcA....49..543P	    Article or Data origin sources
#INFO	original_date=1999	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AcA/49/543	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.120490543	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AcA_49_543_table1:
#Name: J/AcA/49/543/table1
#Title: Cepheid in star clusters from the LMC
#Column	Cluster	(a7)	Cluster name (LMCNNNN or SMCNNNN)	[ucd=meta.id.parent]
#Column	Field	(a8)	Field designation (LMC_SCNN or SMC_SC)	[ucd=obs.field]
#Column	Cepheid	(I6)	Cepheid number in the field	[ucd=meta.id;meta.main]
#Column	Dist	(F4.1)	? Distance from the cluster center, measured in cluster radius	[ucd=pos.distance]
#Column	Per	(F8.5)	Period	[ucd=time.period]
#Column	HJD	(F13.5)	HJD at maximum brightness	[ucd=time.epoch]
#Column	Vmag	(F6.3)	V mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	Imag	(F6.3)	I mean magnitude	[ucd=phot.mag;em.opt.I]
#Column	E(B-V)	(F6.3)	Reddening	[ucd=phot.color.excess]
#Column	Type	(A2)	Cepheid pulsation mode type (1)	[ucd=meta.code;src.var]
Cluster	Field	Cepheid	Dist	Per	HJD	Vmag	Imag	E(B-V)	Type
LMC0457	LMC_SC4 	 53546	 1.2	 6.40602	2450444.56575	15.237	14.435	 0.120	FU
LMC0457	LMC_SC4 	 53796	 0.5	 1.29505	2450443.98043	17.610	16.614	 0.120	DM
LMC0457	LMC_SC4 	176266	 1.4	 8.80196	2450439.87795	15.249	14.295	 0.120	FU
LMC0459	LMC_SC4 	 36266	 1.2	 6.80614	2450438.48105	15.512	14.563	 0.120	FU
LMC0461	LMC_SC4 	 53463	 1.4	 5.39550	2450440.52924	15.308	14.392	 0.120	FO
LMC0461	LMC_SC4 	176266	 1.5	 8.80196	2450439.87795	15.249	14.295	 0.120	FU
LMC0461	LMC_SC4 	176307	 1.2	 2.97632	2450444.48446	15.265	14.637	 0.120	FO
LMC0466	LMC_SC4 	167947	 0.3	 4.68002	2450443.46227	15.743	14.949	 0.120	FU
LMC0468	LMC_SC4 	220148	 1.3	 0.74088	2450444.47941	17.327	16.731	 0.118	DM
LMC0477	LMC_SC4 	296000	 0.3	 4.13355	2450443.50669	15.629	14.939	 0.120	FU
LMC0478	LMC_SC4 	296023	 0.2	 3.54545	2450444.94859	15.904	15.194	 0.120	FU
LMC0480	LMC_SC4 	295932	 1.1	 4.16628	2450441.63659	14.996	14.338	 0.120	FO
LMC0482	LMC_SC4 	305691	 0.8	 7.45743	2450443.64407	14.970	14.173	 0.105	FU
LMC0487	LMC_SC4 	417848	 1.3	 5.88305	2450442.73212	15.114	14.373	 0.120	FU
LMC0490	LMC_SC4 	391255	 0.1	 3.47904	2450442.50816	15.435	14.667	 0.120	FO
LMC0491	LMC_SC4 	408742	 0.3	 7.07075	2450438.18394	14.996	14.208	 0.120	FU
LMC0495	LMC_SC4 	408738	 0.5	 7.32026	2450443.12864	14.831	14.028	 0.120	FU
LMC0496	LMC_SC3 	 35233	 0.4	 4.01553	2450444.36757	14.970	14.265	 0.120	FO
LMC0507	LMC_SC3 	170205	 1.4	 7.57042	2450444.30099	15.135	14.284	 0.120	FU
LMC0508	LMC_SC3 	201460	 1.1	 2.72805	2450443.37541	15.621	14.943	 0.123	FO
LMC0512	LMC_SC3 	170246	 0.0	 2.62452	2450444.94181	15.567	14.913	 0.120	FO
LMC0512	LMC_SC3 	170248	 0.2	 5.29412	2450443.84860	15.546	14.717	 0.120	FU
LMC0514	LMC_SC3 	250776	 0.8	 4.61320	2450440.42176	16.794	15.582	 0.134	FU
LMC0527	LMC_SC3 	368172	 0.6	 4.92028	2450444.23791	15.639	14.807	 0.120	FU
LMC0532	LMC_SC2 	 47348	 1.3	 6.29131	2450444.72622	15.066	14.313	 0.121	FU
LMC0533	LMC_SC3 	 47348	 0.9	 6.29131	2450444.72622	15.066	14.313	 0.121	FU
LMC0538	LMC_SC2 	 78835	 0.9	 2.58776	2450443.97512	16.129	15.456	 0.151	FU
LMC0540	LMC_SC2 	 70874	 1.3	 2.75064	2450442.37314	15.496	14.842	 0.150	FO
LMC0541	LMC_SC2 	 91891	 1.2	 4.16669	2450443.54047	15.770	14.991	 0.131	FU
LMC0543	LMC_SC2 	180132	 0.1	 7.09089	2450440.20200	15.172	14.329	 0.150	FU
LMC0551	LMC_SC2 	158664	 0.5	 7.02416	2450440.35802	15.184	14.383	 0.121	FU
LMC0551	LMC_SC2 	158669	 1.1	 3.04825	2450444.97874	15.523	14.823	 0.121	FO
LMC0552	LMC_SC2 	127941	 0.3	 2.36507	2450443.41876	15.557	14.984	 0.121	FO
LMC0556	LMC_SC2 	232835	 0.6	 4.63835	2450441.82571	15.676	14.901	 0.121	FU
LMC0559	LMC_SC2 	263427	 1.4	 3.30708	2450444.08152	15.973	15.273	 0.121	FU
LMC0559	LMC_SC2 	263433	 0.3	 3.23673	2450442.04624	15.375	14.710	 0.121	FO
LMC0559	LMC_SC2 	263498	 0.7	 3.88073	2450443.61059	16.104	15.269	 0.121	FU
LMC0565	LMC_SC2 	240715	 1.1	 2.52449	2450444.07778	16.366	15.672	 0.121	FU
LMC0565	LMC_SC2 	240852	 1.5	 0.80429	2450444.25721	17.318	16.722	 0.121	FO
LMC0565	LMC_SC2 	334165	 1.1	 3.29488	2450442.81323	16.171	15.350	 0.121	FU
LMC0566	LMC_SC2 	334165	 1.3	 3.29488	2450442.81323	16.171	15.350	 0.121	FU
LMC0569	LMC_SC2 	357821	 0.5	 4.29598	2450441.30282	15.797	14.973	 0.121	FU
LMC0571	LMC_SC1 	 51886	 1.4	 4.65494	2450442.59661	15.638	14.826	 0.147	FU
LMC0574	LMC_SC1 	 66584	 0.9	 1.83677	2450444.77986	16.443	15.678	 0.147	FO
LMC0585	LMC_SC1 	150925	 0.1	 4.29163	2450443.64129	15.893	15.055	 0.147	FU
LMC0585	LMC_SC1 	150939	 1.4	 2.36133	2450444.75922	15.790	15.124	 0.147	FO
LMC0591	LMC_SC1 	158021	 0.2	 2.93704	2450444.49429	16.079	15.372	 0.147	DM
LMC0591	LMC_SC1 	158027	 1.4	 2.28500	2450444.56718	16.020	15.284	 0.147	FO
LMC0591	LMC_SC1 	158066	 1.4	 2.20349	2450443.00294	16.102	15.365	 0.147	FO
LMC0592	LMC_SC1 	164361	 1.0	 1.88935	2450444.79581	16.414	15.641	 0.163	FO
LMC0599	LMC_SC1 	201683	 0.9	 2.31922	2450444.82428	15.870	15.174	 0.152	FO
LMC0603	LMC_SC1 	306814	 1.3	 2.23221	2450444.53573	15.883	15.192	 0.147	FO
LMC0603	LMC_SC1 	306872	 1.1	 3.55525	2450442.84736	16.065	15.252	 0.147	FU
LMC0607	LMC_SC1 	266530	 0.0	 4.11529	2450441.55075	15.541	14.857	 0.117	FU
LMC0609	LMC_SC1 	324972	 0.5	 4.65729	2450443.11470	15.467	14.732	 0.147	FU
LMC0620	LMC_SC16	 37107	 0.3	 2.85225	2450722.24340	15.524	14.859	 0.185	FO
LMC0622	LMC_SC16	 26114	 0.7	 2.45436	2450723.55163	15.646	15.015	 0.148	FO
LMC0622	LMC_SC16	 99253	 0.7	 3.21026	2450723.51146	15.854	15.197	 0.148	FU
LMC0622	LMC_SC16	 99255	 0.2	 3.63447	2450724.98569	15.888	15.073	 0.148	FU
LMC0622	LMC_SC16	 99257	 0.1	 2.25531	2450724.55848	15.665	15.083	 0.148	FO
LMC0622	LMC_SC16	 99259	 1.2	 2.54551	2450724.46521	15.552	14.921	 0.148	FO
LMC0622	LMC_SC16	 99294	 0.3	 2.05606	2450723.61242	15.770	15.181	 0.148	FO
LMC0626	LMC_SC16	104483	 0.7	 4.18017	2450724.95320	15.809	15.013	 0.148	FU
LMC0627	LMC_SC16	115249	 0.6	 4.32412	2450720.90521	16.211	15.224	 0.185	FU
LMC0627	LMC_SC16	115254	 1.4	 3.88261	2450724.25392	16.064	15.247	 0.185	FU
LMC0631	LMC_SC16	172438	 1.5	 3.67029	2450724.88064	16.237	15.423	 0.148	FU
LMC0631	LMC_SC16	172452	 0.2	 2.12037	2450724.14454	15.798	15.212	 0.148	FO
LMC0631	LMC_SC16	177829	 1.5	 2.70457	2450723.74610	16.295	15.554	 0.185	FU
LMC0632	LMC_SC16	177811	 0.1	 4.88909	2450722.06980	15.515	14.761	 0.185	FU
LMC0633	LMC_SC16	172383	 0.1	 5.33924	2450722.54152	15.592	14.776	 0.148	FU
LMC0633	LMC_SC16	172435	 0.5	 2.27102	2450723.10424	15.964	15.285	 0.148	FO
LMC0633	LMC_SC16	172447	 0.4	 3.64388	2450723.94776	15.832	15.154	 0.148	FU
LMC0633	LMC_SC16	172450	 0.2	 2.12318	2450724.80143	15.955	15.307	 0.148	FO
LMC0633	LMC_SC16	172455	 0.1	 1.97267	2450723.60901	15.894	15.295	 0.148	FO
LMC0633	LMC_SC16	172459	 0.2	 2.08792	2450724.43182	15.889	15.276	 0.148	FO
LMC0633	LMC_SC16	172460	 0.1	 3.34067	2450723.46521	15.989	15.249	 0.148	FU
LMC0633	LMC_SC16	177773	 0.7	 4.14658	2450723.88892	15.933	15.054	 0.185	FU
LMC0633	LMC_SC16	177774	 0.2	 4.97643	2450723.99702	15.496	14.761	 0.185	FU
LMC0633	LMC_SC16	177777	 0.3	 4.67694	2450723.82548	15.476	14.792	 0.185	FU
LMC0633	LMC_SC16	177781	 0.8	 5.34543	2450724.04817	15.580	14.800	 0.185	FU
LMC0633	LMC_SC16	177823	 0.3	 1.91792	2450724.12452	16.033	15.415	 0.185	FO
LMC0633	LMC_SC16	235480	 0.8	 2.04557	2450724.33725	16.041	15.367	 0.148	FO
LMC0633	LMC_SC16	240725	 1.3	17.56780	2450716.34020	 9.999	17.212	 0.185	FA
LMC0634	LMC_SC16	167363	 0.8	 4.72921	2450723.64560	15.599	14.849	 0.148	FU
LMC0635	LMC_SC16	194262	 0.3	 2.14536	2450723.91789	16.551	15.619	 0.181	FO
LMC0636	LMC_SC16	240459	 1.0	 5.57865	2450724.29562	15.574	14.702	 0.185	FU
LMC0636	LMC_SC16	240469	 0.5	 3.30523	2450721.83339	15.636	14.862	 0.185	FO
LMC0636	LMC_SC16	240517	 1.1	 2.23872	2450724.40841	15.982	15.290	 0.185	FO
LMC0636	LMC_SC16	240518	 0.8	 2.12913	2450724.77135	16.041	15.347	 0.185	FO
LMC0636	LMC_SC16	240524	 0.2	 2.21601	2450723.11858	15.831	15.212	 0.185	FO
LMC0636	LMC_SC16	240525	 0.5	 1.86071	2450723.50445	16.006	15.419	 0.185	FO
LMC0638	LMC_SC16	257336	 1.1	 2.40550	2450723.83795	16.613	15.552	 0.181	FO
LMC0648	LMC_SC17	 33286	 0.4	 2.21517	2450723.84675	15.829	15.157	 0.175	FO
LMC0648	LMC_SC17	 33289	 0.4	 4.82058	2450721.57077	15.522	14.760	 0.175	FU
LMC0648	LMC_SC17	 33290	 0.2	 2.55444	2450722.78060	15.864	15.110	 0.175	DM
LMC0648	LMC_SC17	 33292	 0.3	 4.39425	2450722.62297	15.833	14.977	 0.175	FU
LMC0648	LMC_SC17	 33296	 0.4	 2.33253	2450723.97765	15.842	15.135	 0.176	FO
LMC0648	LMC_SC17	 33299	 0.6	 4.04385	2450722.43556	15.921	15.035	 0.175	FU
LMC0648	LMC_SC17	 33301	 0.9	 5.78371	2450722.82435	15.839	14.842	 0.175	FU
LMC0648	LMC_SC17	 33306	 0.9	 3.36728	2450723.64425	16.318	15.423	 0.176	FU
LMC0648	LMC_SC17	 33351	 0.8	 1.85403	2450724.42809	16.059	15.347	 0.175	FO
LMC0648	LMC_SC17	 33368	 0.2	 3.64424	2450724.56633	15.956	15.145	 0.175	FU
LMC0650	LMC_SC17	 45207	 0.4	 3.17309	2450723.74520	16.245	15.390	 0.175	FU
LMC0656	LMC_SC17	102941	 0.3	 4.48780	2450724.93418	15.886	15.067	 0.175	FU
LMC0659	LMC_SC17	117748	 0.8	 3.57231	2450723.51809	15.652	14.815	 0.201	FO
LMC0665	LMC_SC17	161761	 0.2	 2.94886	2450724.58682	16.444	15.620	 0.175	FU
LMC0678	LMC_SC18	 69137	 0.2	 4.18875	2450722.84863	16.345	15.346	 0.178	FU
LMC0681	LMC_SC18	 81454	 1.0	 2.02331	2450724.11582	16.256	15.484	 0.173	FO
LMC0683	LMC_SC18	 89202	 0.9	 1.47140	2450724.51654	17.011	16.244	 0.173	DM
LMC0685	LMC_SC18	144662	 0.6	 2.38412	2450724.29685	15.956	15.221	 0.173	FO
LMC0690	LMC_SC18	110903	 0.1	 3.08563	2450724.29846	16.534	15.613	 0.182	FU
LMC0694	LMC_SC19	 28796	 0.5	 2.39931	2450723.84475	16.546	15.740	 0.187	FU
LMC0702	LMC_SC19	 81235	 0.4	 3.60974	2450724.58983	16.239	15.357	 0.187	FU
LMC0703	LMC_SC19	 77859	 0.9	 3.61971	2450722.02986	16.087	15.262	 0.187	FU
LMC0715	LMC_SC19	148467	 1.2	 2.85623	2450722.32707	16.422	15.583	 0.153	FU
LMC0715	LMC_SC19	148475	 0.2	 2.97442	2450724.16899	16.233	15.454	 0.153	FU
LMC0739	LMC_SC20	145017	 1.3	 2.66457	2450724.82090	16.352	15.541	 0.142	FU

